質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．サービス利用者の保
　護",2 ,14 ,13 ,2 ,31 ,6 ,3 ,9 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.7%,5.3%,5.6%,4.4%,4.7%,4.5%,8.6%,5.4%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．小・中学校や地域で
　の福祉教育の推進",3 ,7 ,23 ,4 ,37 ,24 ,4 ,28 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5%,2.7%,10.0%,8.9%,5.6%,18.0%,11.4%,16.7%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．高齢者、障がい者、
　児童の福祉施設の整備",24 ,75 ,56 ,15 ,170 ,44 ,5 ,49 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.8%,28.4%,24.2%,33.3%,25.7%,33.1%,14.3%,29.2%,32.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．手当の支給などの金
　銭的援助",29 ,50 ,57 ,15 ,151 ,50 ,16 ,66 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.0%,18.9%,24.7%,33.3%,22.8%,37.6%,45.7%,39.3%,23.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10．道路の段差解消など
　の福祉のまちづくり",16 ,54 ,40 ,12 ,122 ,29 ,3 ,32 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.2%,20.5%,17.3%,26.7%,18.5%,21.8%,8.6%,19.0%,15.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．わからない,18 ,10 ,15 ,3 ,46 ,6 ,2 ,8 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.9%,3.8%,6.5%,6.7%,7.0%,4.5%,5.7%,4.8%,9.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12．その他,1 ,3 ,1 ,0 ,5 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8%,1.1%,0.4%,0.0%,0.8%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,5 ,3 ,3 ,0 ,11 ,0 ,1 ,1 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.1%,1.1%,1.3%,0.0%,1.7%,0.0%,2.9%,0.6%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問29,同居家族別(高齢者),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,,,夫婦のみ,,,子世代と同居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,35 ,30 ,65 ,87 ,75 ,162 ,71 ,64 ,135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域活動・ボランテ
　ィア活動への支援",1 ,6 ,7 ,17 ,14 ,31 ,10 ,13 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9%,20.0%,10.8%,19.5%,18.7%,19.1%,14.1%,20.3%,17.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．住民が共に支えあう
　仕組みづくりへの支援",12 ,12 ,24 ,43 ,41 ,84 ,23 ,24 ,47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34.3%,40.0%,36.9%,49.4%,54.7%,51.9%,32.4%,37.5%,34.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．情報提供や案内、相
　談窓口の充実",11 ,5 ,16 ,28 ,24 ,52 ,16 ,24 ,40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31.4%,16.7%,24.6%,32.2%,32.0%,32.1%,22.5%,37.5%,29.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．在宅福祉サービスの
　充実",18 ,20 ,38 ,56 ,49 ,105 ,42 ,37 ,79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51.4%,66.7%,58.5%,64.4%,65.3%,64.8%,59.2%,57.8%,58.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．保健医療サービスの
　充実",7 ,4 ,11 ,20 ,14 ,34 ,20 ,15 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0%,13.3%,16.9%,23.0%,18.7%,21.0%,28.2%,23.4%,25.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．サービス利用者の保
　護",0 ,1 ,1 ,4 ,5 ,9 ,6 ,2 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,3.3%,1.5%,4.6%,6.7%,5.6%,8.5%,3.1%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．小・中学校や地域で
　の福祉教育の推進",0 ,0 ,0 ,1 ,0 ,1 ,3 ,5 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,0.0%,0.0%,1.1%,0.0%,0.6%,4.2%,7.8%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．高齢者、障がい者、
　児童の福祉施設の整備",6 ,9 ,15 ,24 ,28 ,52 ,21 ,16 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.1%,30.0%,23.1%,27.6%,37.3%,32.1%,29.6%,25.0%,27.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．手当の支給などの金
　銭的援助",8 ,3 ,11 ,17 ,8 ,25 ,19 ,12 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.9%,10.0%,16.9%,19.5%,10.7%,15.4%,26.8%,18.8%,23.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10．道路の段差解消など
　の福祉のまちづくり",7 ,2 ,9 ,14 ,15 ,29 ,14 ,15 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0%,6.7%,13.8%,16.1%,20.0%,17.9%,19.7%,23.4%,21.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．わからない,6 ,4 ,10 ,3 ,3 ,6 ,4 ,5 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.1%,13.3%,15.4%,3.4%,4.0%,3.7%,5.6%,7.8%,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12．その他,0 ,1 ,1 ,1 ,1 ,2 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,3.3%,1.5%,1.1%,1.3%,1.2%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,2 ,2 ,4 ,1 ,2 ,3 ,1 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7%,6.7%,6.2%,1.1%,2.7%,1.9%,1.4%,3.1%,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問29,居住形態別,,,,,暮らし向き別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,持ち家(一戸建て),持ち家(ﾏﾝｼｮﾝ),借家(一戸建て),借家(ｱﾊﾟｰﾄ･ﾏﾝｼｮﾝ),その他,余裕がある,やや余裕がある,変わらない,やや苦しい,苦しい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,731 ,36 ,30 ,84 ,24 ,10 ,82 ,414 ,275 ,123 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域活動・ボランテ
　ィア活動への支援",115 ,7 ,3 ,9 ,1 ,3 ,19 ,60 ,40 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7%,19.4%,10.0%,10.7%,4.2%,30.0%,23.2%,14.5%,14.5%,9.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．住民が共に支えあう
　仕組みづくりへの支援",299 ,7 ,9 ,20 ,6 ,2 ,33 ,169 ,106 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.9%,19.4%,30.0%,23.8%,25.0%,20.0%,40.2%,40.8%,38.5%,25.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．情報提供や案内、相
　談窓口の充実",219 ,17 ,11 ,22 ,4 ,3 ,24 ,134 ,81 ,32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.0%,47.2%,36.7%,26.2%,16.7%,30.0%,29.3%,32.4%,29.5%,26.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．在宅福祉サービスの
　充実",425 ,19 ,14 ,39 ,14 ,7 ,43 ,225 ,161 ,75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58.1%,52.8%,46.7%,46.4%,58.3%,70.0%,52.4%,54.3%,58.5%,61.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．保健医療サービスの
　充実",181 ,7 ,7 ,22 ,5 ,3 ,27 ,100 ,62 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.8%,19.4%,23.3%,26.2%,20.8%,30.0%,32.9%,24.2%,22.5%,23.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．サービス利用者の保
　護",40 ,0 ,1 ,1 ,0 ,0 ,2 ,12 ,14 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5%,0.0%,3.3%,1.2%,0.0%,0.0%,2.4%,2.9%,5.1%,11.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．小・中学校や地域で
　の福祉教育の推進",55 ,1 ,2 ,8 ,3 ,0 ,10 ,34 ,19 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.5%,2.8%,6.7%,9.5%,12.5%,0.0%,12.2%,8.2%,6.9%,4.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．高齢者、障がい者、
　児童の福祉施設の整備",204 ,10 ,7 ,19 ,5 ,4 ,26 ,117 ,77 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.9%,27.8%,23.3%,22.6%,20.8%,40.0%,31.7%,28.3%,28.0%,15.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．手当の支給などの金
　銭的援助",178 ,11 ,13 ,27 ,6 ,2 ,16 ,77 ,84 ,57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.4%,30.6%,43.3%,32.1%,25.0%,20.0%,19.5%,18.6%,30.5%,46.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10．道路の段差解消など
　の福祉のまちづくり",131 ,8 ,5 ,22 ,2 ,1 ,18 ,79 ,42 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.9%,22.2%,16.7%,26.2%,8.3%,10.0%,22.0%,19.1%,15.3%,23.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．わからない,43 ,2 ,2 ,9 ,5 ,1 ,1 ,36 ,15 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.9%,5.6%,6.7%,10.7%,20.8%,10.0%,1.2%,8.7%,5.5%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12．その他,3 ,1 ,0 ,1 ,0 ,0 ,1 ,2 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4%,2.8%,0.0%,1.2%,0.0%,0.0%,1.2%,0.5%,0.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,9 ,1 ,0 ,3 ,2 ,0 ,0 ,5 ,6 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2%,2.8%,0.0%,3.6%,8.3%,0.0%,0.0%,1.2%,2.2%,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問29,町内会の加入状況別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,加入している,加入していない,わからない,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,801 ,45 ,54 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域活動・ボランテ
　ィア活動への支援",126 ,5 ,5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7%,11.1%,9.3%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．住民が共に支えあう
　仕組みづくりへの支援",321 ,13 ,10 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.1%,28.9%,18.5%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．情報提供や案内、相
　談窓口の充実",248 ,16 ,11 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31.0%,35.6%,20.4%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．在宅福祉サービスの
　充実",467 ,18 ,23 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58.3%,40.0%,42.6%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．保健医療サービスの
　充実",198 ,12 ,10 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.7%,26.7%,18.5%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．サービス利用者の保
　護",38 ,1 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.7%,2.2%,0.0%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．小・中学校や地域で
　の福祉教育の推進",62 ,1 ,5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.7%,2.2%,9.3%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．高齢者、障がい者、
　児童の福祉施設の整備",224 ,9 ,7 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.0%,20.0%,13.0%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．手当の支給などの金
　銭的援助",191 ,16 ,23 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.8%,35.6%,42.6%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10．道路の段差解消など
　の福祉のまちづくり",144 ,11 ,13 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.0%,24.4%,24.1%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．わからない,42 ,5 ,13 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2%,11.1%,24.1%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12．その他,5 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.6%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,15 ,1 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.9%,2.2%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問29,福祉との関わり別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,関わりはない,仕事・ボランティア,福祉サービスを必要としている人,,,,,,身近にいる,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,高齢,障がい,子育て,病弱,ひとり親家庭,"生活
困窮",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,484 ,89 ,77 ,45 ,44 ,25 ,20 ,21 ,192 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域活動・ボランテ
　ィア活動への支援",74 ,28 ,11 ,5 ,4 ,1 ,2 ,2 ,23 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.3%,31.5%,14.3%,11.1%,9.1%,4.0%,10.0%,9.5%,12.0%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．住民が共に支えあう
　仕組みづくりへの支援",182 ,33 ,26 ,15 ,13 ,8 ,6 ,10 ,75 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.6%,37.1%,33.8%,33.3%,29.5%,32.0%,30.0%,47.6%,39.1%,32.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．情報提供や案内、相
　談窓口の充実",149 ,27 ,25 ,8 ,10 ,6 ,10 ,6 ,62 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.8%,30.3%,32.5%,17.8%,22.7%,24.0%,50.0%,28.6%,32.3%,24.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．在宅福祉サービスの
　充実",261 ,52 ,53 ,28 ,18 ,14 ,10 ,12 ,120 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53.9%,58.4%,68.8%,62.2%,40.9%,56.0%,50.0%,57.1%,62.5%,51.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．保健医療サービスの
　充実",120 ,28 ,12 ,7 ,10 ,2 ,2 ,4 ,52 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.8%,31.5%,15.6%,15.6%,22.7%,8.0%,10.0%,19.0%,27.1%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．サービス利用者の保
　護",19 ,6 ,5 ,3 ,2 ,2 ,2 ,1 ,11 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9%,6.7%,6.5%,6.7%,4.5%,8.0%,10.0%,4.8%,5.7%,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．小・中学校や地域で
　の福祉教育の推進",35 ,11 ,1 ,0 ,10 ,2 ,2 ,1 ,17 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.2%,12.4%,1.3%,0.0%,22.7%,8.0%,10.0%,4.8%,8.9%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．高齢者、障がい者、
　児童の福祉施設の整備",104 ,26 ,24 ,22 ,15 ,12 ,11 ,2 ,65 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.5%,29.2%,31.2%,48.9%,34.1%,48.0%,55.0%,9.5%,33.9%,21.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．手当の支給などの金
　銭的援助",134 ,20 ,14 ,9 ,19 ,8 ,9 ,7 ,46 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
