営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
ローソン秋田さくら店,秋田市桜二丁目１７－１１,018-831-6651,有限会社　コンエンタープライズ,新規,50,飲食店営業,一般,2/2/22,2/2/22,9/30/27
ｎｉｒｕ　ｃａｆｅ,秋田市手形からみでん３－７４,,貴志さつき,新規,49,飲食店営業,一般,2/2/22,2/2/22,1/31/28
ｎｉｒｕ　ｃａｆｅ,秋田市内,,貴志さつき,新規,51,飲食店営業,移動,2/2/22,2/2/22,5/31/27
森商店,秋田市内一円（出店計画書のとおり）,,大森広一,新規,53,飲食店営業,仮設,2/7/22,3/13/22,3/12/27
Ｄｒｅａｍ　Ｋｉｔｃｈｅｎ,秋田市内,018-853-6901,秋田中央トランスポート株式会社,新規,56,飲食店営業,移動,2/10/22,2/10/22,5/31/27
サ高住らいらっく外旭川,秋田市外旭川字神田１１２,018-868-1133,笑顔キッチン合同会社,新規,59,飲食店営業,一般,2/10/22,2/10/22,7/31/28
ジェイマルエー泉店,秋田市泉北二丁目４－２６,018-896-5830,株式会社　マルエーうちや,新規,58,菓子製造業,一般,2/10/22,2/10/22,8/31/27
きりたんぽ稲美,秋田市内一円（出店計画書のとおり）,,高崎武大,継続,57,飲食店営業,仮設,2/10/22,2/15/22,2/14/27
とんぼ亭　分店,秋田市仁井田本町五丁目１－１６,018-802-0614,鈴木幸代,新規,72,飲食店営業,一般,2/17/22,2/17/22,6/30/27
餃子　玖,秋田市中通四丁目９－４,018-893-5909,北田圭,新規,75,そうざい製造業,一般,2/17/22,2/17/22,11/30/27
ボンズ,秋田市大町五丁目２－１５,,熊谷勝,新規,74,飲食店営業,一般,2/17/22,2/17/22,10/31/27
なすの,秋田市仁井田福島一丁目１２－３６,,那須野八重子,新規,73,飲食店営業,一般,2/17/22,2/17/22,6/30/27
飲み処ａｎｄキッチン　ほのじぐみ,秋田市南通亀の町１－２３,018-825-1113,若松浜子,継続,86,飲食店営業,一般,2/21/22,3/1/22,2/29/28
ファミリーマート秋田南通宮田店,秋田市南通宮田１６－４６,018-825-9448,傳農昌隆,継続,87,飲食店営業,一般,2/21/22,3/1/22,2/29/28
和食と酒　はれとけ,秋田市南通築地１－１,018-827-3574,菅原光市,継続,90,飲食店営業,一般,2/21/22,3/1/22,2/29/28
ローソン　秋田新屋大川町店,秋田市新屋大川町１０－２３,018-828-0332,株式会社　エンテル,新規,83,飲食店営業,一般,2/21/22,2/21/22,6/30/27
ローソン秋田南通亀の町店,秋田市南通亀の町２－１,018-832-3506,庄司成行,継続,88,飲食店営業,一般,2/21/22,3/1/22,2/29/28
西丸,秋田市南通築地３－２,018-832-7590,有限会社　ウエストカンパニー,継続,76,飲食店営業,一般,2/21/22,3/1/22,2/29/28
一や,秋田市南通みその町２－１２,018-833-7518,村上洋一,継続,77,飲食店営業,一般,2/21/22,3/1/22,2/29/28
そば処　たちそば,秋田市南通亀の町１－３,018-834-1851,佐々木治真,継続,84,飲食店営業,一般,2/21/22,3/1/22,2/29/28
ｔｈｒｅａｄ　ｃｈｅｓｔｎｕｔ,秋田市雄和田草川字太田３８－１,018-886-3718,糸井ミユキ,新規,82,菓子製造業,一般,2/21/22,2/21/22,8/31/27
ｔｈｒｅａｄ　ｃｈｅｓｔｎｕｔ,秋田市雄和田草川字太田３８－１,018-886-3718,糸井ミユキ,新規,80,飲食店営業,一般,2/21/22,2/21/22,8/31/27
ｔｈｒｅａｄ　ｃｈｅｓｔｎｕｔ,秋田市雄和田草川字太田３８－１,018-886-3718,糸井ミユキ,新規,81,そうざい製造業,一般,2/21/22,2/21/22,8/31/27
とっくりの木,秋田市南通亀の町１－８,018-893-6276,沓澤和之,継続,79,飲食店営業,一般,2/21/22,3/1/22,2/28/27
大しま,秋田市南通亀の町１２－４８,,大嶋巧,継続,85,飲食店営業,一般,2/21/22,3/1/22,2/28/27
ハチトニ製パン,秋田市内,,秋田ノーザンハピネッツ株式会社,新規,91,飲食店営業,移動,2/22/22,2/22/22,5/31/27
ｃｌｕｂ　Ｌｅｇａｍｅ,秋田市大町五丁目２－１５,018-853-0260,伊藤翔己,新規,94,飲食店営業,一般,2/24/22,2/24/22,10/31/27
ＮＡＴＵＲＥ,秋田市広面字蓮沼８５－１,018-893-3974,株式会社　ＢＥＡＭＩＮＧ,新規,93,飲食店営業,一般,2/24/22,2/24/22,9/30/27
ふるふる,秋田市山王二丁目１０－３９,,武藤敏樹,新規,95,飲食店営業,一般,2/24/22,2/24/22,4/30/27
クオーレ／上海楼酒家,秋田市中通七丁目２－１,018-801-0700,株式会社　ドリームリンク,新規,101,飲食店営業,一般,2/28/22,2/28/22,11/30/27
クオーレ／上海楼酒家,秋田市中通七丁目２－１,018-801-0700,株式会社　ドリームリンク,新規,102,菓子製造業,一般,2/28/22,2/28/22,11/30/27
クオーレ／上海楼酒家,秋田市中通七丁目２－１,018-801-0700,株式会社　ドリームリンク,新規,103,みそ又はしょうゆ製造業,一般,2/28/22,2/28/22,11/30/27
ローソン秋田土崎港西三丁目店,秋田市土崎港西三丁目１－３４,018-847-1537,石川世希子,新規,107,飲食店営業,一般,2/28/22,2/28/22,5/31/27
西武秋田店,秋田市中通二丁目６－１,018-853-7152,コンパスグループ・ジャパン株式会社,新規,99,飲食店営業,一般,2/28/22,2/28/22,11/30/28
ビリオンハウス,秋田市中通一丁目４－３,018-853-7959,株式会社　ワンダーキッチン,新規,104,飲食店営業,一般,2/28/22,2/28/22,11/30/28
ビリオンハウス,秋田市中通一丁目４－３,018-853-7959,株式会社　ワンダーキッチン,新規,105,菓子製造業,一般,2/28/22,2/28/22,11/30/28
ビリオンハウス,秋田市中通一丁目４－３,018-853-7959,株式会社　ワンダーキッチン,新規,106,そうざい製造業,一般,2/28/22,2/28/22,11/30/28
米粉食堂,秋田市内,,薩摩毅,新規,96,飲食店営業,移動,2/28/22,2/28/22,5/31/27
Ｕｓａｇｉ,秋田市大町五丁目２－１３,,鈴木美喜子,新規,100,飲食店営業,一般,2/28/22,2/28/22,10/31/27
しゃぶしゃぶ酒房美豚,秋田市山王二丁目２－３,018-853-8066,佐藤勇人,新規,112,飲食店営業,一般,3/4/22,3/4/22,4/30/27
居酒屋　よし田,秋田市手形山崎町４－２２,,吉田久敏,新規,111,飲食店営業,一般,3/4/22,3/4/22,1/31/28
麺や二代目夜来香,秋田市下新城中野字街道端西９２－２９,,佐藤尭,新規,113,麺類製造業,一般,3/7/22,3/7/22,5/31/27
麺や二代目夜来香,秋田市下新城中野字街道端西９２－２９,,佐藤尭,新規,114,そうざい製造業,一般,3/7/22,3/7/22,5/31/27
Ｐａｔｃｈｗｏｒｋ　Ｃａｆｅ,秋田市旭南二丁目９－１５,018-811-3424,齋藤由美子,新規,115,飲食店営業,一般,3/9/22,3/9/22,8/31/27
Ｒｏｍｐ,秋田市大町五丁目２－１５,,西谷風香,新規,116,飲食店営業,一般,3/9/22,3/9/22,10/31/27
ＨＣ大川反,秋田市川尻町字大川反２３３－５９,018-827-3887,株式会社　グリーンヘルスケアサービス,新規,122,飲食店営業,一般,3/10/22,3/10/22,4/30/28
国学館高等学校　学校食堂,秋田市千秋明徳町３－３１,018-833-6361,学校法人　敬愛学園,新規,126,飲食店営業,一般,3/10/22,3/10/22,9/30/27
国学館高等学校　学校食堂,秋田市千秋明徳町３－３１,018-833-6361,学校法人　敬愛学園,新規,127,菓子製造業,一般,3/10/22,3/10/22,9/30/27
ＨＣ雄物川,秋田市茨島六丁目１７－１１,018-838-1677,株式会社　グリーンヘルスケアサービス,新規,123,飲食店営業,一般,3/10/22,3/10/22,4/30/28
岡田商店,秋田市外旭川待合２８,018-868-6415,有限会社　岡田商店,新規,120,飲食店営業,一般,3/10/22,3/10/22,7/31/27
障害者支援施設　雄高園,秋田市雄和戸賀沢字金山８９－２９,018-886-3256,シダックスフードサービス株式会社,新規,124,飲食店営業,一般,3/10/22,3/10/22,8/31/28
Ｃａｆｅ　Ｌａ　Ｄｏｕｘ,秋田市中通二丁目５－１,018-893-5005,水澤重寿,新規,121,飲食店営業,一般,3/10/22,3/10/22,11/30/27
コーヒースタンド　ハロ,秋田市保戸野すわ町８－１２,,伊藤咲織,新規,125,飲食店営業,一般,3/10/22,3/10/22,1/31/28
ほっとまん企画,秋田市広面字樋ノ沖１７－４,,斉藤正弘,新規,119,食品の小分け業,一般,3/10/22,3/10/22,9/30/27
（株）メフォス北日本５２４４１,秋田市大住三丁目３－４１,018-839-0311,株式会社　メフォス北日本,新規,131,飲食店営業,一般,3/14/22,3/14/22,6/30/28
おつまみ横丁,秋田市泉北四丁目２－６,018-863-6129,株式会社　ディアポーク,新規,132,飲食店営業,一般,3/14/22,3/14/22,8/31/27
ＳＵＮ,秋田市大町五丁目４－２０,,木山貴輝,新規,130,飲食店営業,一般,3/14/22,3/14/22,10/31/27
みんなのまち,秋田市新屋比内町２２－２２,018-828-2721,株式会社　М２プロジェクト,新規,135,飲食店営業,一般,3/17/22,3/17/22,6/30/27
医療法人　三愛会　介護老人保健施設　悠久荘,秋田市御所野堤台三丁目３－１,018-892-7800,富士産業株式会社,新規,142,飲食店営業,一般,3/24/22,3/24/22,6/30/28
ＢＯＸ　ＣＯＦＦＥＥ　泉店,秋田市泉菅野二丁目１－１,,佐藤迅,新規,141,飲食店営業,一般,3/24/22,3/24/22,8/31/27
Ａｓｙｌ,秋田市中通四丁目１２－７,,石川貢,新規,139,飲食店営業,一般,3/24/22,3/24/22,11/30/27
秋田いすゞ自動車　社員食堂,秋田市寺内字蛭根８５－７,,有限会社　岡田商店,新規,140,飲食店営業,一般,3/24/22,3/24/22,8/31/27
前田道路株式会社　秋田営業所　食堂,秋田市御所野堤台一丁目５－１－８,018-838-1863,サンコー食品株式会社,新規,148,飲食店営業,一般,3/29/22,3/29/22,6/30/27
ＺＥＣＣＨＩＮＩ　ＰＩＺＺＡ　ＢＡＮＣＡＲＥＬＬＡ　フードトラック店,秋田市内,018-838-5022,大関真吾,新規,152,飲食店営業,移動,3/29/22,3/29/22,5/31/27
セリオン　カフェ,秋田市土崎港西一丁目９－１,018-847-5104,戸嶋法彦,新規,145,飲食店営業,一般,3/29/22,3/29/22,5/31/27
ショートステイ千乃恵,秋田市四ツ小屋字城下当場２５３－４,018-853-1556,シダックスフードサービス株式会社,新規,146,飲食店営業,一般,3/29/22,3/29/22,6/30/28
発酵食工房和美Ｓａｂｉ,秋田市山王五丁目１４－１,,工藤亜希子,新規,151,そうざい製造業,一般,3/29/22,3/29/22,4/30/27
仁井田小学校店,秋田市仁井田本町四丁目７－１,,ハーベストネクスト株式会社,新規,147,飲食店営業,一般,3/29/22,3/29/22,6/30/27
横森菓子店,秋田市横森五丁目１９－１６,,株式会社　オリジナルグルーヴ,新規,149,菓子製造業,一般,3/29/22,3/29/22,9/30/27
ｉｒｕｔｏｃｏ,秋田市旭南一丁目５－１５－１,,伊藤しのぶ,新規,150,菓子製造業,一般,3/29/22,3/29/22,8/31/27
ＨＣ治郎沢,秋田市新藤田字治郎沢５２－６,018-825-0228,株式会社　グリーンヘルスケアサービス,新規,157,飲食店営業,一般,3/30/22,3/30/22,7/31/28
ＨＣ保戸野すわ町,秋田市保戸野すわ町８－２４,018-866-8520,株式会社　グリーンヘルスケアサービス,新規,158,飲食店営業,一般,3/30/22,3/30/22,1/31/29
キトラ,秋田市手形からみでん８－７,018-893-3365,真田心子,新規,155,菓子製造業,一般,3/30/22,3/30/22,1/31/28
キトラ,秋田市手形からみでん８－７,018-893-3365,真田心子,新規,154,飲食店営業,一般,3/30/22,3/30/22,1/31/28
カフェ　ひまわり,秋田市泉北三丁目８－４,018-896-5550,株式会社　ひまわり不動産,新規,156,飲食店営業,一般,3/30/22,3/30/22,8/31/27
焼肉・ホルモン・しょう吉,秋田市大町三丁目２－３０,018-883-3737,宮田昇,新規,163,飲食店営業,一般,4/5/22,4/5/22,10/31/27
シナモンキッチンカー,秋田市内,,株式会社　アニメイトカフェ,新規,164,飲食店営業,移動,4/5/22,4/5/22,5/31/27
イオン東北水産秋田ＰＣ,秋田市御所野堤台三丁目１－１,018-839-5410,イオン東北株式会社,新規,169,魚介類販売業,一般,4/6/22,4/6/22,6/30/28
イオン東北水産秋田ＰＣ,秋田市御所野堤台三丁目１－１,018-839-5410,イオン東北株式会社,新規,170,水産製品製造業,一般,4/6/22,4/6/22,6/30/28
やきとり宮本川反店,秋田市大町五丁目２－２,018-866-8655,宗聡,新規,166,飲食店営業,一般,4/6/22,4/6/22,10/31/27
ひなたエキス　秋田店,秋田市雄和椿川字奥椿岱１９４－１,018-874-9299,株式会社　ｈｉｎａｔａ,新規,165,飲食店営業,一般,4/6/22,4/6/22,8/31/27
華まる青果,秋田市雄和椿川字長者屋敷１－１,,株式会社　華まる,新規,167,飲食店営業,一般,4/6/22,4/6/22,8/31/27
華まる青果,秋田市雄和椿川字長者屋敷１－１,,株式会社　華まる,新規,168,菓子製造業,一般,4/6/22,4/6/22,8/31/27
ｇｏｉｔ,秋田市手形字蛇野１１－３,,株式会社　オリジナルグルーヴ,新規,171,菓子製造業,一般,4/6/22,4/6/22,1/31/28
ＨＣ下堤,秋田市御所野下堤二丁目１－７－１,018-827-3210,株式会社　グリーンヘルスケアサービス,新規,181,飲食店営業,一般,4/11/22,4/11/22,6/30/28
ＨＣ地蔵田,秋田市御所野地蔵田二丁目１５－１,018-827-5786,株式会社　グリーンヘルスケアサービス,新規,180,飲食店営業,一般,4/11/22,4/11/22,6/30/28
ＨＣ池ノ内,秋田市添川字池ノ内１４３－５,018-834-2612,株式会社　グリーンヘルスケアサービス,新規,182,飲食店営業,一般,4/11/22,4/11/22,7/31/27
ＨＣ添川字池ノ内,秋田市添川字池ノ内５－３,018-868-8910,株式会社　グリーンヘルスケアサービス,新規,183,飲食店営業,一般,4/11/22,4/11/22,7/31/27
ＨＣ街道端西,秋田市下新城中野字街道端西３２１,018-873-5122,株式会社　グリーンヘルスケアサービス,新規,184,飲食店営業,一般,4/11/22,4/11/22,5/31/27
ＨＣ潟向,秋田市金足小泉字潟向３９－１,018-873-5611,株式会社　グリーンヘルスケアサービス,新規,185,飲食店営業,一般,4/11/22,4/11/22,5/31/27
ＨＣ吹欠下,秋田市雄和向野字吹欠下３６－２,018-887-2325,株式会社　グリーンヘルスケアサービス,新規,179,飲食店営業,一般,4/11/22,4/11/22,8/31/28
すなっく喫茶ウタダ,秋田市中通六丁目１６－２０,,石郷岡郁恵,新規,178,飲食店営業,一般,4/11/22,4/11/22,11/30/27
生はちみつ食パン　ローズメイ,秋田市内,,株式会社　ローズメイ,新規,177,飲食店営業,移動,4/11/22,4/11/22,5/31/27
ふわりずむ千秋　～松下茶寮～,秋田市千秋公園１－３,,小玉直史,新規,186,飲食店営業,一般,4/12/22,4/12/22,9/30/27
保坂商興,秋田市内一円（出店計画書のとおり）,,保坂春男,継続,187,飲食店営業,仮設,4/12/22,4/19/22,4/18/27
食彩巧房　あまね,秋田市大町四丁目３－１,018-835-1170,株式会社　イヤタカ,新規,198,飲食店営業,一般,4/13/22,4/13/22,10/31/27
創鮓　庵河豚,秋田市保戸野桜町１０－６,018-866-8318,安部信和,新規,204,飲食店営業,一般,4/13/22,4/13/22,1/31/28
創鮓　庵河豚,秋田市保戸野桜町１０－６,018-866-8318,安部信和,新規,206,魚介類販売業,一般,4/13/22,4/13/22,1/31/28
創鮓　庵河豚,秋田市保戸野桜町１０－６,018-866-8318,安部信和,新規,205,水産製品製造業,一般,4/13/22,4/13/22,1/31/28
漬け物加工所,秋田市雄和新波字新町６９,,岡部眞佐子,新規,199,漬物製造業,一般,4/13/22,4/13/22,8/31/27
龍麺亭,秋田市飯島道東二丁目１４－１５,,株式会社　安亀,新規,203,飲食店営業,一般,4/13/22,4/13/22,5/31/27
とうふ屋丸木橋六兵衛,秋田市山内字丸木橋１７４－１,,社会福祉法人　一羊会,新規,200,飲食店営業,一般,4/13/22,4/13/22,7/31/27
とうふ屋丸木橋六兵衛,秋田市山内字丸木橋１７４－１,,社会福祉法人　一羊会,新規,202,豆腐製造業,一般,4/13/22,4/13/22,7/31/27
とうふ屋丸木橋六兵衛,秋田市山内字丸木橋１７４－１,,社会福祉法人　一羊会,新規,201,そうざい製造業,一般,4/13/22,4/13/22,7/31/27
きらら医療福祉プラザ,秋田市川元松丘町４－５９,018-853-6572,株式会社　きららライフクリエーション,新規,207,飲食店営業,一般,4/14/22,4/14/22,4/30/28
Ｓｌｏｗ　ｃａｆｅ,秋田市川元開和町３－２,018-862-7878,丹羽志郎,新規,211,飲食店営業,一般,4/14/22,4/14/22,4/30/27
ジェラテリア　ｙｕｗａ,秋田市雄和妙法字糠塚９,018-893-4978,ノリット・ジャポン株式会社,新規,209,飲食店営業,一般,4/14/22,4/14/22,8/31/27
ＢＡＲ　ＭＡＳＨ,秋田市大町五丁目４－２７,,村越影一,新規,210,飲食店営業,一般,4/14/22,4/14/22,10/31/27
ほっとまん企画,秋田市広面字樋ノ沖１７－４,,齊藤正弘,新規,208,そうざい製造業,一般,4/14/22,4/14/22,9/30/27
Ｃｌｕｂ　Ｌｙｃｏｒｉｓ,秋田市大町五丁目２－１５,018-853-1239,岩井歩,新規,215,飲食店営業,一般,4/18/22,4/18/22,10/31/27
ほっともっと　茨島店,秋田市茨島二丁目８－３２,018-896-5333,株式会社　プレナス,新規,216,飲食店営業,一般,4/18/22,4/18/22,4/30/28
久二郎,秋田市中通四丁目１７－３０,,株式会社　久,新規,217,飲食店営業,一般,4/18/22,4/18/22,11/30/27
菓子工房　ハピラキ堂,秋田市楢山南中町９－５０,,小玉智久,新規,214,菓子製造業,一般,4/18/22,4/18/22,7/31/27
焼肉ほるもん　蒼,秋田市内一円（出店計画書のとおり）,018-802-7021,菅野陽平,新規,225,飲食店営業,仮設,4/20/22,4/20/22,4/19/27
仔馬,秋田市山王二丁目１１－４８,018-824-1756,阿部和仁,継続,221,飲食店営業,一般,4/20/22,5/1/22,4/30/28
だいにんぐ　葉笑輪,秋田市山王二丁目７－４１,018-862-3687,川口享子,継続,224,飲食店営業,一般,4/20/22,5/1/22,4/30/28
だいこんや,秋田市山王二丁目２－３,018-864-3013,株式会社　タカコーポレーション,継続,223,飲食店営業,一般,4/20/22,5/1/22,4/30/28
食彩　酔蓮,秋田市山王三丁目１－７,018-866-1188,安藤裕一,継続,220,飲食店営業,一般,4/20/22,5/1/22,4/30/28
ラーメン亭　美香味,秋田市山王一丁目６－２,018-866-3318,大坊武,継続,219,飲食店営業,一般,4/20/22,5/1/22,4/30/28
Ｒ,秋田市山王一丁目２－１３,018-867-2570,奈良るみ子,継続,222,飲食店営業,一般,4/20/22,5/1/22,4/30/28
ラウンジ　めぐり,秋田市山王一丁目２－１３,018-824-6755,髙橋麻里,継続,226,飲食店営業,一般,4/21/22,5/1/22,4/30/28
ラストショー,秋田市山王一丁目８－８,018-863-3362,佐藤ゆう子,継続,230,飲食店営業,一般,4/21/22,5/1/22,4/30/27
ウエスタン,秋田市山王一丁目７－３,018-864-5832,佐藤和伸,継続,228,飲食店営業,一般,4/21/22,5/1/22,4/30/28
石油開発　山王寮,秋田市山王一丁目１１－１１,018-864-8863,エスケイ産業株式会社,継続,227,飲食店営業,一般,4/21/22,5/1/22,4/30/28
カフェ・ド・ルシャ,秋田市山王中島町４－４,,辻眞喜子,継続,229,飲食店営業,一般,4/21/22,5/1/22,4/30/27
生鮮いちばん土崎店,秋田市土崎港東三丁目２－２３,018-880-2440,秋田青果株式会社,新規,236,飲食店営業,一般,4/25/22,4/25/22,5/31/27
ＮＡＴＵＲＥ,秋田市広面字蓮沼８５－１,018-893-3974,株式会社　ＢＥＡＭＩＮＧ,新規,233,菓子製造業,一般,4/25/22,4/25/22,9/30/27
ＹＡＭＡＫＩ,秋田市大町五丁目２－２３,,大薮泰士,新規,234,そうざい製造業,一般,4/25/22,4/25/22,10/31/27
ｃａｆｅ　ｔｕｔｔｉ,秋田市南通亀の町１２－４８,,伊藤真衣子,新規,235,飲食店営業,一般,4/25/22,4/25/22,2/29/28
ブッチャーノ,秋田市川尻大川町１－１,018-800-0044,深谷祐次,継続,247,飲食店営業,一般,4/26/22,5/1/22,4/30/28
和彩　海（ワサイ　カイ）,秋田市川尻総社町８－１２,018-824-3687,富田大海,継続,248,飲食店営業,一般,4/26/22,5/1/22,4/30/28
地酒もっきり酒場　玉野しょう店,秋田市川元小川町４－１９,018-862-5044,玉野良悦,継続,249,飲食店営業,一般,4/26/22,5/1/22,4/30/28
ドルフィン　イマージュ,秋田市川尻総社町２－２８,018-863-0355,さかえ興業　株式会社,継続,245,飲食店営業,一般,4/26/22,5/1/22,4/30/28
Ｍ,秋田市山王一丁目８－１５,018-866-6656,鎌田恵,継続,250,飲食店営業,一般,4/26/22,5/1/22,4/30/28
メフォス北日本　５１７５３号店,秋田市川元小川町１－８,018-874-8415,株式会社　メフォス北日本,継続,251,飲食店営業,一般,4/26/22,5/1/22,4/30/29
はなまるうどん秋田川元店,秋田市川元開和町９－６,018-883-3870,株式会社　はなまる,継続,246,飲食店営業,一般,4/26/22,5/1/22,4/30/28
焼肉ほるもん　蒼,秋田市外旭川字八幡田１２１－１,018-802-7021,菅野陽平,新規,253,食肉販売業,一般,4/27/22,4/27/22,7/31/27
山王一丁目食堂,秋田市山王一丁目１－１,018-863-2222,有限会社　桃山,継続,263,飲食店営業,一般,4/27/22,5/1/22,4/30/28
吉野家１３号線秋田川尻若葉町店,秋田市川尻若葉町５－２１,018-883-0367,株式会社　北日本吉野家,継続,261,飲食店営業,一般,4/27/22,5/1/22,4/30/28
イオンスタイル茨島,秋田市茨島四丁目３－１８,018-896-5211,イオン東北株式会社,継続,264,魚介類販売業,一般,4/27/22,5/1/22,4/30/28
らーめん萬亀,秋田市山王新町４－１,,佐藤優,継続,262,飲食店営業,一般,4/27/22,5/1/22,4/30/28
まきや,秋田市内,,渡邉正樹,新規,260,飲食店営業,移動,4/27/22,4/27/22,5/31/27
メフォス北日本５２４６１号店,秋田市土崎港中央四丁目４－２６,,株式会社　メフォス北日本,新規,252,飲食店営業,一般,4/27/22,4/27/22,5/31/28
フランス料理サンビーム,秋田市山王三丁目４－３２,018-823-3888,株式会社　サンビーム,継続,267,飲食店営業,一般,4/28/22,5/1/22,4/30/28
セブン－イレブン秋田山王５丁目店,秋田市山王五丁目８－１０,018-862-0711,阿部昌博,継続,273,飲食店営業,簡易,4/28/22,5/1/22,4/30/28
地方職員共済組合秋田県宿泊所　ルポールみずほ,秋田市山王四丁目２－１２,018-862-2433,地方職員共済組合秋田県支部,継続,268,飲食店営業,一般,4/28/22,5/1/22,4/30/28
ホルモン伸栄,秋田市内一円（出店計画書のとおり）,018-863-1020,有限会社　伸栄,新規,266,飲食店営業,仮設,4/28/22,5/28/22,5/27/27
カンパーナ,秋田市山王五丁目１１－１,018-863-8107,有限会社　カンパーナ,継続,269,飲食店営業,一般,4/28/22,5/1/22,4/30/28
肉のわかば　生協茨島店,秋田市茨島四丁目１９－１９,018-866-2901,株式会社　大門商店,継続,274,食肉販売業,一般,4/28/22,5/1/22,4/30/28
イタリア食堂　ポモドーロ,秋田市山王三丁目５－１５,018-867-1619,田口正樹,継続,270,飲食店営業,一般,4/28/22,5/1/22,4/30/28
中華和膳　毘膳,秋田市山王一丁目３－１８,018-893-5116,上杉健児,継続,272,飲食店営業,一般,4/28/22,5/1/22,4/30/28
煙　～ＫＥＭＵＲＩ～,秋田市内,,佐藤智孝,新規,275,飲食店営業,移動,4/28/22,4/28/22,5/31/27
かんぱいや,秋田市山王二丁目１０－３９,,小林香,継続,271,飲食店営業,一般,4/28/22,5/1/22,4/30/27
メッター,秋田市山王五丁目１４－１２,018-848-2011,ＳＡＳＡＫＩ　ＳＩＲＯＲＡＴ,新規,277,飲食店営業,一般,5/6/22,5/6/22,4/30/28
Ａｍｉｔｙ,秋田市大町五丁目１－７,,佐々木英康,新規,276,飲食店営業,一般,5/6/22,5/6/22,10/31/27
ＨＩＲＯＢＥＩ,秋田市内一円（出店計画書のとおり）,,三浦浩,新規,279,飲食店営業,仮設,5/9/22,5/10/22,5/9/27
Ｂｏｗ　Ｂｏｗ,秋田市内,,株式会社　ＳＨＩＦＴ,新規,281,飲食店営業,移動,5/9/22,5/9/22,5/31/27
由利屋,秋田市内一円（出店計画書のとおり）,,佐藤雄一,新規,282,飲食店営業,仮設,5/10/22,5/28/22,5/27/27
ナイス　仁井田南店,秋田市仁井田本町五丁目６－６,018-826-1811,株式会社　ナイス,新規,287,そうざい製造業,一般,5/11/22,5/11/22,6/30/28
秋田ホテル（株）　ＡＮＡクラウンプラザホテル秋田,秋田市中通二丁目６－１,018-832-1111,秋田ホテル株式会社,新規,283,飲食店営業,一般,5/11/22,5/11/22,11/30/27
Ｅｐｉ,秋田市大町五丁目４－１９,018-853-1991,南都陸央,新規,285,飲食店営業,一般,5/11/22,5/11/22,10/31/27
草階のみせ,秋田市中通六丁目１２－１３,,草階亮一,新規,284,飲食店営業,一般,5/11/22,5/11/22,11/30/27
ｃａｆｅ　ｔｕｔｔｉ,秋田市南通亀の町１２－４８,,伊藤真衣子,新規,286,そうざい製造業,一般,5/11/22,5/11/22,2/29/28
由利屋トラック,秋田市内,,佐藤雄一,新規,293,飲食店営業,移動,5/16/22,5/16/22,5/31/27
パンノキ,秋田市仁井田二ツ屋一丁目８－３６,018-834-6680,舛屋睦,新規,297,菓子製造業,一般,5/17/22,5/17/22,6/30/27
（株）雄和振興公社　秋田市雄和観光農産物加工所,秋田市内,,株式会社　雄和振興公社,継続,299,飲食店営業,仮設,5/17/22,5/28/22,5/27/27
Ｂａｒ　ｃｏｔｓ,秋田市高陽幸町１－２５,,徳原武史,新規,295,飲食店営業,一般,5/17/22,5/17/22,8/31/27
秋田キャッスルホテル　シアターカフェＣ’ｓ,秋田市千秋明徳町２－５２,,株式会社　秋田キャッスルホテル,新規,296,飲食店営業,一般,5/17/22,5/17/22,9/30/28
ＨＣ美砂,秋田市飯島美砂町５－７１,018-866-8520,株式会社　グリーンヘルスケアサービス,新規,304,飲食店営業,一般,5/18/22,5/18/22,5/31/28
ファミリーマート秋田下新城琵琶沼店,秋田市下新城中野字琵琶沼３８５－２,018-872-4311,株式会社　ファミリーマート,新規,305,飲食店営業,一般,5/18/22,5/18/22,5/31/28
ＳＡＮ－ＴＯＲＵ,秋田市大町五丁目２－１３,,佐々木徹,新規,303,飲食店営業,一般,5/18/22,5/18/22,10/31/27
Ｍ’Ｓキッチン,秋田市内一円（出店計画書のとおり）,,畠山真弓,新規,312,飲食店営業,仮設,5/20/22,5/20/22,5/19/27
吉野家７号線秋田土崎店,秋田市土崎港相染町字家ノ下４４－６,018-838-6116,株式会社　北日本吉野家,継続,323,飲食店営業,一般,5/23/22,6/1/22,5/31/28
金坂製麺所,秋田市土崎港相染町字沼端１４１－１,018-845-0338,金坂司,継続,320,麺類製造業,一般,5/23/22,6/1/22,5/31/28
金坂製麺所,秋田市土崎港相染町字沼端１４１－１,018-845-0338,金坂司,継続,321,そうざい製造業,一般,5/23/22,6/1/22,5/31/27
有限会社　佐田商店,秋田市土崎港中央一丁目１－１,018-845-0755,有限会社　佐田商店,継続,332,食肉販売業,一般,5/23/22,6/1/22,5/31/27
有限会社　近藤製麺所,秋田市土崎港中央四丁目５－５０,018-845-1212,有限会社　近藤製麺所,継続,335,麺類製造業,一般,5/23/22,6/1/22,5/31/28
有限会社　近藤製麺所,秋田市土崎港中央四丁目５－５０,018-845-1212,有限会社　近藤製麺所,継続,334,菓子製造業,一般,5/23/22,6/1/22,5/31/28
